State,Area,Crop_Year,Season
Assam,73814,1997,Whole Year 
Assam,6637,1997,Kharif     
Assam,796,1997,Kharif     
Assam,19656,1997,Whole Year 
Assam,1739,1997,Kharif     
Assam,13587,1997,Whole Year 
Assam,2979,1997,Rabi       
Assam,94520,1997,Kharif     
Assam,10098,1997,Rabi       
Assam,19216,1997,Kharif     
Assam,5915,1997,Kharif     
Assam,9914,1997,Whole Year 
Assam,7832,1997,Whole Year 
Assam,108297,1997,Rabi       
Assam,75259,1997,Whole Year 
Assam,279292,1997,Rabi       
Assam,607358,1997,Autumn     
Assam,174974,1997,Summer     
Assam,1743321,1997,Winter     
Assam,15765,1997,Whole Year 
Assam,10490,1997,Kharif     
Assam,31318,1997,Kharif     
Assam,9380,1997,Whole Year 
Assam,2465,1997,Whole Year 
Assam,433,1997,Whole Year 
Assam,10071,1997,Whole Year 
Assam,84698,1997,Rabi       
Karnataka,93100,1997,Whole Year 
Karnataka,421810,1997,Kharif     
Karnataka,301149,1997,Kharif     
Karnataka,820,1997,Summer     
Karnataka,3825,1997,Kharif     
Karnataka,21230,1997,Whole Year 
Karnataka,17317,1997,Whole Year 
Karnataka,186579,1997,Kharif     
Karnataka,4565,1997,Rabi       
Karnataka,5061,1997,Whole Year 
Karnataka,3619,1997,Kharif     
Karnataka,847666,1997,Kharif     
Karnataka,192416,1997,Rabi       
Karnataka,178872,1997,Kharif     
Karnataka,163173,1997,Rabi       
Karnataka,389690,1997,Kharif     
Karnataka,1501172,1997,Rabi       
Karnataka,6137,1997,Summer     
Karnataka,502797,1997,Kharif     
Karnataka,48844,1997,Rabi       
Karnataka,9730,1997,Summer     
Karnataka,897921,1997,Kharif     
Karnataka,27104,1997,Rabi       
Karnataka,13521,1997,Summer     
Karnataka,1031530,1997,Kharif     
Karnataka,53889,1997,Rabi       
Karnataka,268044,1997,Summer     
Karnataka,308857,1997,Whole Year 
Karnataka,4342,1997,Whole Year 
Karnataka,250698,1997,Rabi       
Kerala,76145,1997,Whole Year 
Kerala,173855,1997,Whole Year 
Kerala,96073,1997,Whole Year 
Kerala,884344,1997,Whole Year 
Kerala,132875,1997,Whole Year 
Meghalaya,9569,1997,Whole Year 
Meghalaya,865,1997,Kharif     
Meghalaya,5239,1997,Whole Year 
Meghalaya,30,1997,Rabi       
Meghalaya,7544,1997,Kharif     
Meghalaya,1766,1997,Whole Year 
Meghalaya,7357,1997,Kharif     
Meghalaya,443,1997,Rabi       
Meghalaya,4243,1997,Kharif     
Meghalaya,50,1997,Kharif     
Meghalaya,17175,1997,Kharif     
Meghalaya,4688,1997,Kharif     
Meghalaya,861,1997,Whole Year 
Meghalaya,1909,1997,Rabi       
Meghalaya,20764,1997,Whole Year 
Meghalaya,6914,1997,Rabi       
Meghalaya,105170,1997,Kharif     
Meghalaya,1326,1997,Kharif     
Meghalaya,2804,1997,Kharif     
Meghalaya,898,1997,Kharif     
Meghalaya,82,1997,Whole Year 
Meghalaya,5212,1997,Whole Year 
Meghalaya,3959,1997,Whole Year 
Meghalaya,742,1997,Rabi       
Meghalaya,1401,1997,Whole Year 
Meghalaya,4287,1997,Rabi       
West Bengal,8058,1997,Whole Year 
West Bengal,3630,1997,Whole Year 
West Bengal,207,1997,Kharif     
West Bengal,6116,1997,Whole Year 
West Bengal,2674,1997,Whole Year 
West Bengal,660,1997,Whole Year 
West Bengal,24273,1997,Whole Year 
West Bengal,26000,1997,Kharif     
West Bengal,64034,1997,Whole Year 
West Bengal,25485,1997,Rabi       
West Bengal,29615,1997,Whole Year 
West Bengal,5645,1997,Kharif     
West Bengal,948,1997,Whole Year 
West Bengal,641574,1997,Kharif     
West Bengal,25261,1997,Rabi       
West Bengal,16486,1997,Whole Year 
West Bengal,35469,1997,Whole Year 
West Bengal,51202,1997,Rabi       
West Bengal,9689,1997,Kharif     
West Bengal,1490,1997,Kharif     
West Bengal,3269,1997,Rabi       
West Bengal,9959,1997,Summer     
West Bengal,50808100,1997,Rabi       
West Bengal,6512,1997,Whole Year 
West Bengal,1279,1997,Kharif     
West Bengal,284015,1997,Whole Year 
West Bengal,12607,1997,Autumn     
West Bengal,327123,1997,Whole Year 
West Bengal,423121,1997,Autumn     
West Bengal,1206829,1997,Summer     
West Bengal,4270328,1997,Winter     
West Bengal,10800,1997,Whole Year 
West Bengal,2015,1997,Whole Year 
West Bengal,127913,1997,Whole Year 
West Bengal,5046,1997,Whole Year 
West Bengal,1555,1997,Kharif     
West Bengal,25797,1997,Whole Year 
West Bengal,278,1997,Whole Year 
West Bengal,12481,1997,Whole Year 
West Bengal,69271,1997,Kharif     
West Bengal,16694,1997,Rabi       
West Bengal,367374,1997,Rabi       
Puducherry,66,1998,Kharif     
Puducherry,149,1998,Kharif     
Puducherry,12,1998,Kharif     
Puducherry,2,1998,Kharif     
Puducherry,453,1998,Summer     
Puducherry,8,1998,Kharif     
Puducherry,1046,1998,Rabi       
Puducherry,26,1998,Kharif     
Puducherry,112,1998,Kharif     
Puducherry,4945,1998,Kharif     
Puducherry,13961,1998,Rabi       
Puducherry,5716,1998,Summer     
Puducherry,147,1998,Kharif     
Puducherry,4,1998,Kharif     
Puducherry,2710,1998,Kharif     
Puducherry,649,1998,Kharif     
Assam,74457,1998,Whole Year 
Assam,7657,1998,Kharif     
Assam,41885,1998,Whole Year 
Assam,1728,1998,Kharif     
Assam,20166,1998,Whole Year 
Assam,1652,1998,Kharif     
Assam,14724,1998,Whole Year 
Assam,3002,1998,Rabi       
Assam,78702,1998,Kharif     
Assam,10222,1998,Rabi       
Assam,19810,1998,Kharif     
Assam,5260,1998,Kharif     
Assam,8753,1998,Kharif     
Assam,8083,1998,Whole Year 
Assam,116141,1998,Rabi       
Assam,76958,1998,Whole Year 
Assam,288829,1998,Rabi       
Assam,594979,1998,Autumn     
Assam,223913,1998,Summer     
Assam,1635230,1998,Winter     
Assam,15940,1998,Kharif     
Assam,10547,1998,Kharif     
Assam,30571,1998,Whole Year 
Assam,9433,1998,Whole Year 
Assam,2798,1998,Whole Year 
Assam,1465,1998,Whole Year 
Assam,10729,1998,Whole Year 
Assam,89591,1998,Rabi       
Goa,1500,1998,Whole Year 
Goa,1900,1998,Whole Year 
Goa,250,1998,Whole Year 
Goa,52875,1998,Whole Year 
Goa,24858,1998,Whole Year 
Goa,350,1998,Kharif     
Goa,1048,1998,Rabi       
Goa,8671,1998,Rabi       
Goa,1200,1998,Kharif     
Goa,2500,1998,Kharif     
Goa,41000,1998,Kharif     
Goa,15439,1998,Rabi       
Goa,1320,1998,Whole Year 
Karnataka,98047,1998,Whole Year 
Karnataka,475396,1998,Kharif     
Karnataka,415816,1998,Kharif     
Karnataka,451,1998,Rabi       
Karnataka,846,1998,Summer     
Karnataka,4387,1998,Whole Year 
Karnataka,20218,1998,Whole Year 
Karnataka,27246,1998,Kharif     
Karnataka,310399,1998,Whole Year 
Karnataka,17935,1998,Whole Year 
Karnataka,636495,1998,Kharif     
Karnataka,170319,1998,Whole Year 
Karnataka,3574,1998,Whole Year 
Karnataka,3896,1998,Kharif     
Karnataka,355326,1998,Rabi       
Karnataka,1012577,1998,Kharif     
Karnataka,217445,1998,Rabi       
Karnataka,189486,1998,Kharif     
Karnataka,134779,1998,Rabi       
Karnataka,420808,1998,Kharif     
Karnataka,1420162,1998,Rabi       
Karnataka,8897,1998,Summer     
Karnataka,19806,1998,Rabi       
Karnataka,450472,1998,Kharif     
Karnataka,49922,1998,Rabi       
Karnataka,11974,1998,Summer     
Karnataka,311720,1998,Kharif     
Karnataka,15627,1998,Rabi       
Karnataka,41853,1998,Kharif     
Karnataka,79921,1998,Kharif     
Karnataka,8882,1998,Rabi       
Karnataka,4797,1998,Summer     
Karnataka,1730,1998,Kharif     
Karnataka,494,1998,Rabi       
Karnataka,1583,1998,Summer     
Karnataka,28755,1998,Kharif     
Karnataka,4173,1998,Rabi       
Karnataka,1137,1998,Summer     
Karnataka,268,1998,Whole Year 
Karnataka,986173,1998,Kharif     
Karnataka,33833,1998,Rabi       
Karnataka,10673,1998,Summer     
Karnataka,6673,1998,Kharif     
Karnataka,1079193,1998,Kharif     
Karnataka,51782,1998,Rabi       
Karnataka,295830,1998,Summer     
Karnataka,97487,1998,Rabi       
Karnataka,115250,1998,Kharif     
Karnataka,65309,1998,Kharif     
Karnataka,430676,1998,Kharif     
Karnataka,359514,1998,Rabi       
Karnataka,43156,1998,Summer     
Karnataka,5007,1998,Whole Year 
Karnataka,268981,1998,Rabi       
Kerala,73639,1998,Whole Year 
Kerala,30521,1998,Whole Year 
Kerala,182384,1998,Whole Year 
Kerala,41449,1998,Whole Year 
Kerala,91268,1998,Whole Year 
Kerala,882288,1998,Whole Year 
Kerala,10999,1998,Kharif     
Kerala,297,1998,Whole Year 
Kerala,742,1998,Whole Year 
Kerala,11107,1998,Whole Year 
Kerala,7021,1998,Kharif     
Kerala,2177,1998,Kharif     
Kerala,1157,1998,Kharif     
Kerala,120217,1998,Autumn     
Kerala,57700,1998,Summer     
Kerala,174714,1998,Winter     
Kerala,3303,1998,Kharif     
Kerala,6160,1998,Whole Year 
Kerala,1099,1998,Whole Year 
Kerala,112774,1998,Whole Year 
Kerala,41,1998,Whole Year 
Kerala,3706,1998,Whole Year 
Meghalaya,9585,1998,Whole Year 
Meghalaya,861,1998,Kharif     
Meghalaya,5194,1998,Whole Year 
Meghalaya,7549,1998,Kharif     
Meghalaya,1764,1998,Whole Year 
Meghalaya,7403,1998,Kharif     
Meghalaya,463,1998,Rabi       
Meghalaya,4241,1998,Kharif     
Meghalaya,51,1998,Kharif     
Meghalaya,17219,1998,Kharif     
Meghalaya,4681,1998,Kharif     
Meghalaya,871,1998,Whole Year 
Meghalaya,1938,1998,Rabi       
Meghalaya,20753,1998,Whole Year 
Meghalaya,6916,1998,Rabi       
Meghalaya,105402,1998,Kharif     
Meghalaya,1322,1998,Kharif     
Meghalaya,2823,1998,Kharif     
Meghalaya,899,1998,Kharif     
Meghalaya,83,1998,Whole Year 
Meghalaya,5181,1998,Whole Year 
Meghalaya,3963,1998,Whole Year 
Meghalaya,742,1998,Whole Year 
Meghalaya,1375,1998,Whole Year 
Meghalaya,4287,1998,Rabi       
West Bengal,8239,1998,Whole Year 
West Bengal,2606,1998,Kharif     
West Bengal,175,1998,Kharif     
West Bengal,5938,1998,Rabi       
West Bengal,2875,1998,Whole Year 
West Bengal,54,1998,Rabi       
West Bengal,24616,1998,Whole Year 
West Bengal,200,1998,Kharif     
West Bengal,64354,1998,Whole Year 
West Bengal,9398,1998,Kharif     
West Bengal,23286,1998,Rabi       
West Bengal,30157,1998,Whole Year 
West Bengal,4958,1998,Rabi       
West Bengal,886,1998,Kharif     
West Bengal,612066,1998,Kharif     
West Bengal,23300,1998,Rabi       
West Bengal,10323,1998,Rabi       
West Bengal,38519,1998,Kharif     
West Bengal,51919,1998,Rabi       
West Bengal,9911,1998,Kharif     
West Bengal,822,1998,Kharif     
West Bengal,2729,1998,Rabi       
West Bengal,9320,1998,Summer     
West Bengal,7587,1998,Kharif     
West Bengal,768,1998,Kharif     
West Bengal,9230,1998,Rabi       
West Bengal,318199,1998,Whole Year 
West Bengal,12895,1998,Kharif     
West Bengal,344358,1998,Rabi       
West Bengal,425002,1998,Autumn     
West Bengal,1450473,1998,Summer     
West Bengal,4028620,1998,Winter     
West Bengal,48,1998,Rabi       
West Bengal,1800,1998,Whole Year 
West Bengal,100425,1998,Whole Year 
West Bengal,3742,1998,Kharif     
West Bengal,1235,1998,Rabi       
West Bengal,800,1998,Kharif     
West Bengal,26949,1998,Whole Year 
